삭제,bsn_tp,crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt
1,E003,E,모빌링크텔레콤,A00263991,영업양수ㆍ도종료보고서,20060116000096,모빌링크텔레콤,20060116
1,E003,E,모빌링크텔레콤,A00263991,자산양수ㆍ도종료보고서,20060406000773,모빌링크텔레콤,20060406
1,E003,E,모빌링크텔레콤,A00263991,자산양수ㆍ도종료보고서,20070816000121,모빌링크텔레콤,20070816
1,E003,E,에이스일렉트로닉스,A00264556,자산양수ㆍ도종료보고서,20070816000108,에이스일렉트로닉스,20070816
1,E003,E,에이스일렉트로닉스,A00264556,합병등종료보고서(자산양수도),20090619000299,에이스일렉트로닉스,20090619
1,E003,E,에이스일렉트로닉스,A00264556,합병등종료보고서(자산양수도),20090814000123,에이스일렉트로닉스,20090814
1,E003,E,넥스콘테크놀러지,A00264644,영업양수ㆍ도종료보고서,20081001000057,넥스콘테크놀러지,20081001
1,E003,E,어울림네트웍스,A00264741,자산양수ㆍ도종료보고서,20090225000417,어울림네트웍스,20090225
1,E003,E,포이보스,A00264769,자산양수ㆍ도종료보고서,20060102000152,포이보스,20060102
1,E003,E,스톰이앤에프,A00264796,자산양수ㆍ도종료보고서,20060118000134,스톰이앤에프,20060118
1,E003,E,스톰이앤에프,A00264796,자산양수ㆍ도종료보고서,20070326000594,스톰이앤에프,20070326
1,E003,E,스톰이앤에프,A00264796,자산양수ㆍ도종료보고서,20081031000088,스톰이앤에프,20081031
1,E003,E,유일엔시스,A00264802,자산양수ㆍ도종료보고서,20070110000413,유일엔시스,20070110
1,E003,E,에이프로테크놀로지,A00264811,자산양수ㆍ도종료보고서,20060413000809,에이프로테크놀로지,20060413
1,E003,E,에이프로테크놀로지,A00264811,자산양수ㆍ도종료보고서,20060621000157,에이프로테크놀로지,20060621
1,E003,E,에이프로테크놀로지,A00264811,자산양수ㆍ도종료보고서,20060707000130,에이프로테크놀로지,20060707
1,E003,E,에이프로테크놀로지,A00264811,자산양수ㆍ도종료보고서,20061020000194,에이프로테크놀로지,20061020
1,E003,E,에이프로테크놀로지,A00264811,자산양수ㆍ도종료보고서,20061222000270,에이프로테크놀로지,20061222
1,E003,E,에이프로테크놀로지,A00264811,자산양수ㆍ도종료보고서,20061222000277,에이프로테크놀로지,20061222
1,E003,E,에이프로테크놀로지,A00264811,자산양수ㆍ도종료보고서,20061228000342,에이프로테크놀로지,20061228
1,E003,E,에이프로테크놀로지,A00264811,자산양수ㆍ도종료보고서,20070111000152,에이프로테크놀로지,20070111
1,E003,E,에이프로테크놀로지,A00264811,자산양수ㆍ도종료보고서,20070111000167,에이프로테크놀로지,20070111
1,E003,E,에이프로테크놀로지,A00264811,자산양수ㆍ도종료보고서,20080616000293,에이프로테크놀로지,20080616
1,E003,E,아이비진,A00264839,자산양수ㆍ도종료보고서,20050302000224,아이비진,20050302
1,E003,E,대국,A00264848,자산양수ㆍ도종료보고서,20060420000079,대국,20060420
1,E003,E,디에이치패션,A00264981,자산양수ㆍ도종료보고서,20050906000232,디에이치패션,20050907
1,E003,E,디에이치패션,A00264981,[기재정정]자산양수ㆍ도종료보고서,20060616000192,디에이치패션,20060616
1,E003,E,디에이치패션,A00264981,합병등종료보고서(자산양수도),20120627000354,디에이치패션,20120627
1,E003,E,유니텍전자,A00265078,자산양수ㆍ도종료보고서,20071227000310,유니텍전자,20071227
1,E003,E,유니텍전자,A00265078,합병등종료보고서(자산양수도),20100407001088,유니텍전자,20100407
1,E003,E,유니텍전자,A00265078,합병등종료보고서(자산양수도),20100920000107,유니텍전자,20100920
1,E003,E,케이엔에스홀딩스,A00265218,자산양수ㆍ도종료보고서,20060725000215,케이엔에스홀딩스,20060725
1,E003,E,케이엔에스홀딩스,A00265218,자산양수ㆍ도종료보고서,20061130000221,케이엔에스홀딩스,20061130
1,E003,E,케이엔에스홀딩스,A00265218,자산양수ㆍ도종료보고서,20070216000275,케이엔에스홀딩스,20070216
1,E003,E,에스비엠,A00265227,자산양수ㆍ도종료보고서,20060203000011,에스비엠,20060203
1,E003,E,에스비엠,A00265227,자산양수ㆍ도종료보고서,20060327000682,에스비엠,20060327
1,E003,E,에스비엠,A00265227,자산양수ㆍ도종료보고서,20060829000148,에스비엠,20060829
1,E003,E,에이치에스씨홀딩스,A00265342,자산양수ㆍ도종료보고서,20060925000019,에이치에스씨홀딩스,20060925
1,E003,E,에이치에스씨홀딩스,A00265342,자산양수ㆍ도종료보고서,20060925000020,에이치에스씨홀딩스,20060925
1,E003,E,에이치에스씨홀딩스,A00265342,자산양수ㆍ도종료보고서,20060929000262,에이치에스씨홀딩스,20060929
1,E003,E,에이디모터스,A00266989,자산양수ㆍ도종료보고서,20060616000179,에이디모터스,20060616
1,E003,E,에이디모터스,A00266989,자산양수ㆍ도종료보고서,20060703000051,에이디모터스,20060703
1,E003,E,에이디모터스,A00266989,자산양수ㆍ도종료보고서,20071206000091,에이디모터스,20071206
1,E003,E,에이디모터스,A00266989,합병등종료보고서(영업양수도),20100209000015,에이디모터스,20100209
1,E003,E,헤파호프코리아,A00267094,영업양수ㆍ도종료보고서,20051230000203,헤파호프코리아,20051230
1,E003,E,헤파호프코리아,A00267094,자산양수ㆍ도종료보고서,20061027000198,헤파호프코리아,20061027
1,E003,E,헤파호프코리아,A00267094,자산양수ㆍ도종료보고서,20070413001193,헤파호프코리아,20070413
1,E003,E,지앤알,A00267474,합병등종료보고서(자산양수도),20090617000098,지앤알,20090617
1,E003,E,동산진흥,A00267775,자산양수ㆍ도종료보고서,20071026000058,동산진흥,20071026
1,E003,E,동산진흥,A00267775,자산양수ㆍ도종료보고서,20071031000137,동산진흥,20071031
1,E003,E,동산진흥,A00267775,자산양수ㆍ도종료보고서,20071129000262,동산진흥,20071129
1,E003,E,동산진흥,A00267775,자산양수ㆍ도종료보고서,20080617000025,동산진흥,20080617
1,E003,E,동산진흥,A00267775,합병등종료보고서(자산양수도),20090623000096,동산진흥,20090623
1,E003,E,동산진흥,A00267775,합병등종료보고서(자산양수도),20090825000179,동산진흥,20090825
1,E003,E,에스에스컴텍,A00267960,자산양수ㆍ도종료보고서,20070820000299,에스에스컴텍,20070820
1,E003,E,에스티앤아이,A00267997,자산양수ㆍ도종료보고서,20060308000734,에스티앤아이,20060308
1,E003,E,에스티앤아이,A00267997,자산양수ㆍ도종료보고서,20080401001275,에스티앤아이,20080401
1,E003,E,에스티앤아이,A00267997,자산양수ㆍ도종료보고서,20080421000232,에스티앤아이,20080421
1,E003,E,에스티앤아이,A00267997,자산양수ㆍ도종료보고서,20080704000131,에스티앤아이,20080704
1,E003,E,일레덱스홀딩스,A00268011,자산양수ㆍ도종료보고서,20071207000204,일레덱스홀딩스,20071207
1,E003,E,일레덱스홀딩스,A00268011,자산양수ㆍ도종료보고서,20071207000205,일레덱스홀딩스,20071207
1,E003,E,일레덱스홀딩스,A00268011,합병등종료보고서(자산양수도),20110527000143,일레덱스홀딩스,20110527
1,E003,E,쏠라엔텍,A00268020,자산양수ㆍ도종료보고서,20050321000653,쏠라엔텍,20050322
1,E003,E,쏠라엔텍,A00268020,자산양수ㆍ도종료보고서,20051122000069,쏠라엔텍,20051122
1,E003,E,쏠라엔텍,A00268020,자산양수ㆍ도종료보고서,20061010000274,쏠라엔텍,20061010
1,E003,E,쏠라엔텍,A00268020,자산양수ㆍ도종료보고서,20070724000072,쏠라엔텍,20070724
1,E003,E,쏠라엔텍,A00268020,자산양수ㆍ도종료보고서,20071228000412,쏠라엔텍,20071228
1,E003,E,에코페트로시스템,A00268297,자산양수ㆍ도종료보고서,20051018000156,에코페트로시스템,20051018
1,E003,E,에코페트로시스템,A00268297,자산양수ㆍ도종료보고서,20051231000007,에코페트로시스템,20051231
1,E003,E,에코페트로시스템,A00268297,자산양수ㆍ도종료보고서,20060208000012,에코페트로시스템,20060208
1,E003,E,에코페트로시스템,A00268297,자산양수ㆍ도종료보고서,20060313000390,에코페트로시스템,20060313
1,E003,E,에코페트로시스템,A00268297,자산양수ㆍ도종료보고서,20070329000009,에코페트로시스템,20070329
1,E003,E,에코페트로시스템,A00268297,합병등종료보고서(자산양수도),20091110000074,에코페트로시스템,20091110
1,E003,E,에스브이에이치,A00268358,[기재정정]자산양수ㆍ도종료보고서,20050712000170,에스브이에이치,20050712
1,E003,E,보홍,A00269287,자산양수ㆍ도종료보고서,20060929000329,보홍,20060929
1,E003,E,대양글로벌,A00269773,자산양수ㆍ도종료보고서,20080401001543,대양글로벌,20080401
1,E003,E,대양글로벌,A00269773,자산양수ㆍ도종료보고서,20080424000365,대양글로벌,20080424
1,E003,E,대양글로벌,A00269773,자산양수ㆍ도종료보고서,20090205000141,대양글로벌,20090206
1,E003,E,대양글로벌,A00269773,합병등종료보고서(자산양수도),20100709000149,대양글로벌,20100709
1,E003,E,대양글로벌,A00269773,합병등종료보고서(자산양수도),20101213000289,대양글로벌,20101213
1,E003,E,대양글로벌,A00269773,합병등종료보고서(자산양수도),20110228001006,대양글로벌,20110228
,E003,Y,신일산업,A002700,자산양수ㆍ도종료보고서,20061229000291,신일산업,20061229
,E003,Y,신일산업,A002700,자산양수ㆍ도종료보고서,20071228000154,신일산업,20071228
,E003,Y,TCC동양,A002710,합병등종료보고서(자산양수도),20161202000229,TCC동양,20161202
1,E003,E,케이엠에스,A00271431,자산양수ㆍ도종료보고서,20051123000295,케이엠에스,20051124
1,E003,E,케이엠에스,A00271431,자산양수ㆍ도종료보고서,20080820000070,케이엠에스,20080820
1,E003,E,케이엠에스,A00271431,자산양수ㆍ도종료보고서,20080820000071,케이엠에스,20080820
1,E003,E,글라소울,A00272412,자산양수ㆍ도종료보고서,20080506001003,글라소울,20080506
1,E003,E,글라소울,A00272412,자산양수ㆍ도종료보고서,20080829000324,글라소울,20080829
1,E003,E,엑큐리스,A00275260,합병등종료보고서(자산양수도),20120404000610,엑큐리스,20120404
1,E003,E,코디콤,A00287724,합병등종료보고서(자산양수도),20091026000164,코디콤,20091026
1,E003,E,코디콤,A00287724,합병등종료보고서(자산양수도),20091030000084,코디콤,20091030
,E003,Y,대유에이텍,A002880,자산양수ㆍ도종료보고서,20050131000210,대유에이텍,20050131
,E003,Y,대유에이텍,A002880,자산양수ㆍ도종료보고서,20051018000198,대유에이텍,20051019
,E003,Y,대유에이텍,A002880,자산양수ㆍ도종료보고서,20060126000135,대유에이텍,20060126
